1_ae-12a_000020-000053	0_4d3528bc8e13d3761e75401cf28cc699
1_ai-9145289a_000051-000072	0_8a91bd28254e91c86dfc012c91987d20
1_ai-914a_000056-000081	0_9600c16fe201c16f1676f79d5eff4220
1_ai-o18a_000069-000099	1_05a6608a6882e714aade2b68b3a3f77d
1_ai-o1a_000040-000087	1_0ea9ed8c041393ea98b51c13332bcaef
1_ai-z5168a_000091-000122	1_05c4504b8ce5d03450010aed842e78d5
1_aj-14a_000020-000040	1_05f8fd64e57cad30b5379e3dbec78a4c
1_aj-15z2za_000013-000040	1_0607c613c6a3831df54b2211eb64d64e
1_aj-16a_000012-000033	1_061a7b2d12ca6bda55992b7b63c320a3
1_aj-1978213a_000017-000040	1_06340dcd4deb4825a28c7c1039ce7bc0
1_aj-1978213a_000163-000191	1_0ff7dc522f73280b3bdd2ca730ef1661
1_aj-1a_000009-000051	1_063d65d587a9b390536afc13786293fe
1_aj-1b_000008-000045	1_037ca6a2097b5b1c678e9ab4e334a862
1_aj-1z61257a_000009-000031	1_066020697051c3fc38da94bbe967a6cc
1_aj-1z61257a_000110-000132	1_068c121b71737231b06eb7aa1636a256
1_aj-23o18a_000080-000099	1_11e2f972a0f65ddd9ba9f169adf3456d
1_aj-4198za_000048-000075	0_cc1b80372627734c72ba44e6644f3b6e
1_aj-451a_000067-000104	1_1277324d019d1770de7700ecb7c0b074
1_aj-51o7oo4a_000035-000057	1_0033804fccff892cb2dd855f622b59a3
1_aj-7413a_000086-000110	1_1304d1dfd4fb03de581ff3a8619a7b4a
1_aj-77171a_000078-000103	1_0033f5f814ed4f1f736b88b92c8444d6
1_aj-77171a_000131-000168	1_13ffced3cdcc6260c963a15ac908f554
1_aj-8314a_000060-000086	1_06f1521d62583175dbcca83712df296d
1_aj-91175a_000043-000069	1_1511c4c165eaa2d5a940232cabf25a57
1_aj-91175a_000068-000099	1_00687bace08bf35a63347767198d226d
1_aj-9281a_000071-000109	1_164cac9d43cb924224ea13735023d4db
1_aj-o91a_000055-000094	1_16a62229ff9158dcb6ff0557d7c8db8f
1_aj-z9z1a_000111-000148	1_0a28eb4f13a1715caa56c89bbb43903e
1_al-11z7za_000012-000052	1_0adf1da27d5e4564d03686b4cd953641
1_al-11z7za_000051-000094	1_0085c464a897215b90d53cb5e038ac22
1_al-14za_000009-000045	1_038429706bd03fabe65efbf1683d2963
1_al-1871986a_000009-000039	1_0743b0909a01a742a64a07f7b363a72b
1_al-1871986a_000178-000212	1_009043759fdae1e10e804041f1fcae8c
1_al-19z96z8a_000013-000051	1_07bd98f8660282fe5209b2944c375dfc
1_al-1a_000018-000073	1_0098f62b85ea2637680ae58036b31fab
1_al-1b_000021-000078	1_172988c60b14e08e1ab2b049c754c14e
1_al-1z77a_000019-000061	1_08476acda8f24bada948e59641035326
1_al-2124a_000038-000082	1_05d7e997a956ee41135a7de305a395ab
1_al-2567184a_000231-000272	1_00adba50225480f7aab1dd7d94fb7282
1_al-281a_000092-000145	1_0bdf269e94dfe07bdd7bbb6495836aa5
1_al-411a_000079-000115	1_0c2f22e299dce0e0a6ff26a41224998f
1_al-411a_000114-000161	1_00ba7ad086e40624d643fd53ead226f5
1_al-4379315a_000321-000358	1_085dd93d7e1b2a84c3c02a5f975c84e8
1_al-5122764a_000057-000096	1_066ac9ab783dcacb35e7eaa96d5d1382
1_al-5424o91a_000334-000380	1_00c60337310c18039c47cca0a2a8c369
1_al-98169a_000104-000145	1_08811c8069595024866a7fc0888d302d
1_al-oo13492a_000085-000139	1_0d4e30f789d9268523ecd579c95827a9
1_al-z17a_000084-000118	1_18b0435dc124fa0842a7bcd0b0a83436
1_aw-11z9a_000035-000055	1_08f96415b028be604d4a77de12e5f6b1
1_aw-11z9a_000054-000082	1_00c7576edaba0c6aa45a95f1730bef5a
1_aw-159a_000049-000071	1_00c99764f741e0629409e9d3af0d02b4
1_aw-16a_000063-000089	1_0907763bc1bf24a02cd172adf63bca17
1_aw-199oa_000020-000044	1_09a25e8291f2bf5f19d7304b20c38b8f
1_aw-1a_000045-000079	1_09a27bd1da4f28dad394d2406a7b4490
1_aw-1b_000038-000078	1_0d7e08b18e9af8584b0a925ebd127b75
1_aw-1za_000053-000092	1_09c8086bb691ea5c9a3d852e31af491a
1_aw-251a_000090-000120	1_09db18884b7dd1b1e032cf3ccf0eaad5
1_aw-31242a_000068-000096	1_09e184f7e63bc5efe6ab548de57ee51e
1_aw-413oa_000071-000100	1_195b83ea15cd370251240fafb134e637
1_aw-61o35a_000072-000091	1_0a10cdd018ca9b50a5f8b012c5056b69
1_aw-7z28213a_000234-000264	1_0a201b454991bc264ad4ee71b267c6d4
1_aw-931a_000085-000119	1_0a97d95a90c2eb3b380cef6c4667a7f5
1_aw-93971a_000128-000160	1_1a9d7c3b40becbc5c3ea8e34130d1ea0
1_aw-o1434a_000037-000069	1_1ab1e2a1a1f3779dc430220270e143c0
1_aw-o46o183a_000180-000205	1_0b059bd662290e0576132d054deecc19
1_aw-z4151z4a_000108-000146	1_00cb33719c80a46d13601d4ffdfa3958
1_aw-z4151z4a_000178-000218	1_00dc217bc1f80ba27949d043cbdfdc6c
1_aw-z78z1a_000157-000187	1_1b453fedc3661aa55d425b645db70e70
1_aw-z818a_000091-000115	1_0b453d2ff83059e956a644d7bacfe664
1_aw-zz16z55a_000120-000162	1_0b49dc4ddf93578a65645d0493af3bad
1_bd-1198a_000020-000044	1_0bc86fdb6b955f68aab23780e12cc2bc
1_bd-1198a_000043-000071	1_0c161df7bc50d0d5146db549e33c19d0
1_bd-11z92a_000020-000045	1_0c89bde8033fa931b15e88b8fddd02e8
1_bd-11z92a_000044-000072	1_00edc6f937a6cfc30b781d4d6325e523
1_bd-1382za_000020-000046	1_0cff88ac7b15e86ece642a9de0274750
1_bd-1518a_000037-000065	1_0d12584d66df70044fa204c509a21a68
1_bd-1518a_000100-000125	1_0d2a4a9eb1d58ab3deea8196f96b35fe
1_bd-167a_000048-000076	1_0d3e58555e3ae051475aecc3cb05eaf5
1_bd-1a_000020-000067	1_06e448b01558a983b34c8dbdfc98687d
1_bd-1b_000031-000075	1_0f654510c1f5b789706013b71806aac3
1_bd-2139a_000035-000069	1_0d786f966ddd4e5e535bd6d969f02ad3
1_bd-21758a_000035-000064	1_0de5ce4ac6f028964f9bb0a2f95d177f
1_bd-34126a_000077-000113	1_011a4edb33b30878e25b9a59fa92966d
1_bd-3645188a_000192-000220	2_1e965b9159729e0a7bc7bdbffb6f3f3e
1_bd-3o281a_000126-000185	1_0e157a89d37b7a948c8304be0f50e333
1_bd-4191a_000061-000089	1_1bf85df751a0db6edca70e841eeb1ee8
1_bd-4191a_000117-000157	1_1c07d0c9eed6577ade11e9aa912e66f2
1_bd-493o1o6a_000152-000194	1_0ef6e0cee331ebf03519bce08eba0f84
1_bd-612a_000074-000107	1_011fb833a099b018c78f432d77b20f5e
1_bd-631a_000080-000126	1_01447fa4d53edd29b067063076c80554
1_bd-714a_000056-000086	1_1d98dc93e6ad6e7fba091d9a5139992e
1_bd-71a_000056-000103	1_01545fa4069bc7d6697f45ee67d183ab
1_bd-z1z36a_000053-000082	1_1f359ab080cd4b1381cce98d0ac892e7
1_bd-z4zz815a_000222-000254	1_015ccd7da4f09448a9f301c4cef903ef
1_bh-137a_000041-000068	1_0f0e1090edab27d6a5971ecf019b398a
1_bh-1838512a_000020-000053	1_0f491bad97a751f1478fb970f14d3b4d
1_bh-1838512a_000194-000226	1_1f594d21b455a3241c8ecaa2926dba1a
1_bh-18a_000019-000042	1_0faf9d06b9b665c7beb30ec957204084
1_bh-1916a_000034-000062	1_0fb4f1e87c02b0cf25aa08252091442a
1_bh-1916a_000092-000116	1_016f0a0f8970f5c7e43c3a9200bfef4d
1_bh-1a_000038-000083	1_101e156c45748fa509eb87829c1e82cf
1_bh-1b_000020-000067	1_10942aa12126d903ef065421bc252d42
1_bh-1o46o58a_000040-000075	1_109ec9f05142916ab4bbf66b52d60319
1_bh-21617z8a_000040-000068	1_1f8d340b6311b4d3eaa5ba9d11d6fe27
1_bh-21617z8a_000125-000148	1_10bf452b1d092982539fe9c7548d6751
1_bh-315a_000074-000103	1_1119859feb814175815097ad5cd8f34b
1_bh-37113a_000102-000128	1_01a315a764d7aa4a5d5d3b9e25ee3020
1_bh-37113a_000127-000155	1_1fe5c4f4fc87ccfa08d80c813565c9cc
1_bh-41a_000046-000090	1_203ceefbfc56125cc33fb91e10580d94
1_bh-5z1z295a_000088-000132	1_204cb6a587b40f5497acecf287a5a795
1_bh-617a_000074-000096	1_01accafba159ba6d4b3b7d8fabc23b47
1_bh-8112142a_000046-000080	1_102a8f948d91be463627d11bc1a92cef
1_bh-8112142a_000079-000113	1_2143087111bfa955d4d06670e5806f79
1_bh-8112142a_000134-000165	1_2345b02bdc2d1f33415a0ade3e6ea73d
1_bh-8631475a_000114-000144	1_113965d0512ff2b6a7c7c0ecacc41c51
1_bh-8o391a_000139-000181	1_23abaee9a2c67052b74123db5f1d5f79
1_bh-o681oa_000107-000140	1_11257848614cd813c751fdcadca78451
1_bh-o71a_000080-000120	1_23d7ecad7c697f012843301ba5ddbc40
1_bh-ooo1575a_000112-000144	1_24bac6ab46d6d730f62fce7e4e2c0923
1_bh-z19z3a_000065-000095	1_116e85c10f8cccf092e53aed571293e8
1_bi-141a_000048-000085	3_6550b6418cfd4a4c6004a3db08c67911
1_bi-141a_000109-000150	1_2503d251b58bbac7b3057b83217c9771
1_bi-1556za_000019-000051	1_117bc4c929f6db252cd119e6ab024fd8
1_bi-16755a_000020-000045	1_11c70404995dccd5a2a056b6a432f2c2
1_bi-169a_000034-000055	1_120e085f50c586bfb569fe8d5a9b7121
1_bi-1885o29a_000033-000071	1_1245f73f5bf0c49dd38e9a047116cddc
1_bi-1a_000035-000079	1_125aa271a2962c8947078d1de58a1a93
1_bi-1b_000019-000062	1_12719d673053f42317e8d5521e2e1e40
1_bi-21a_000041-000085	1_076506505d80a230076790897feb093f
1_bi-22123a_000081-000119	1_250d7635879e65b49a5075e4bd13355f
1_bi-231o8a_000096-000138	1_251be793c796722ee378a971a08dbefa
1_bi-32z18zza_000112-000146	1_2549737d4f8070a715161f4da189a337
1_bi-4226381a_000268-000310	3_6e9295c978ca73713a2063cf4a48ce36
1_bi-4915a_000101-000131	0_06950f29d1bd21236e5a19d572115a8a
1_bi-51178a_000052-000090	1_12f8e1d130160026d10f5eb03b4358a4
1_bi-51178a_000089-000113	1_133b8e23cfcbf69db502a247dc7b8af7
1_bi-65o1a_000108-000153	1_1167b8493c1d7bda79c14643934e7754
1_bi-6o61a_000197-000234	1_11b18f153b2f944cd88a0b8850508fc5
1_bi-711348oa_000068-000104	1_13591e39f5e695e11d49893da4cbe45c
1_bi-711348oa_000103-000146	1_135c18dfc61903095a359881af621300
1_bi-71a_000078-000113	1_01c566d8f024b823ad73a205a7277069
1_bi-7481z25a_000134-000170	1_13b344bf72b862c7ca9dec97e8c47044
1_bi-841oa_000083-000119	3_98628f60bc6a46432fe63ee734cbad59
1_bi-91a_000063-000110	1_255002748c5921d21e6b33709338906a
1_bi-931a_000121-000168	1_25ae1abe6d9aaae71293ea19dda8dd0c
1_bi-o4614ooa_000157-000194	1_13c2360f8384185d34cce7706710924b
1_bi-z19a_000057-000087	1_01d4a4e0bec6b6329ee1ef0b66d29ed3
1_ca-12z5z14a_000038-000077	1_140f6c274ace06d033f6fe9567fde822
1_ca-12z5z14a_000235-000262	1_25b28becda50c6d4c052c834c77bc209
1_ca-132a_000020-000063	1_270711a98eca5da1c3abce96855b63e1
1_ca-14a_000020-000056	1_276c7c4f427b496cc4880c044b8ac841
1_ca-15a_000039-000069	1_14474ef0b0fa0f6e5bb32e8ac86c52ec
1_ca-1a_000030-000075	3_b08f7904838e2d857d5b07d34db47280
1_ca-1b_000038-000100	1_14589878dd263924ddd4b0b3885595c3
1_ca-1za_000039-000088	1_148ef285d4f6c96672eb8e8f603e95d7
1_ca-219a_000060-000097	1_281ae948a382022fa80996de78f5cd4e
1_ca-2263791a_000324-000373	1_2854d868aa20a0b90ec1963d358775e6
1_ca-34o311oa_000194-000224	1_2966b63c7aa351b95aeb908fa99c3b5d
1_ca-34o311oa_000223-000264	1_29d50ed56507563d60349ca5fc50c80a
1_ca-3617a_000088-000118	1_2a08a0024612d19dcb0e41a459c2ad8d
1_ca-41a_000079-000137	1_2a4d6d0143b38f01972f15b6d41b3938
1_ca-51za_000060-000095	1_14a6f22d9b0b9ca6bff827dfa689dd7a
1_ca-6553124a_000206-000242	1_2c821e0704ca9c9062c1163a52839f40
1_ca-68175a_000086-000115	1_2cc427da97ab721f50334d701b780ffd
1_ca-721519oa_000151-000221	1_2d5307eca5d021b7d260101557c74175
1_ca-721519oa_000278-000318	1_14b50354c53531941fbdff873577baa4
1_ca-7465o61a_000257-000301	1_2da2320aefdb1acee7aee23f187def27
1_ca-82o11a_000126-000167	1_14d77464fb892e2062d5306c531a434a
1_ca-82o11a_000166-000224	1_2dcd416cddb4dcad0b953e360441e4f4
1_ca-91a_000070-000125	1_2e6ba434db64086bef15d9778e938064
1_ca-97o1a_000110-000161	1_2f1648ce66285349ab2222b7ac49513c
1_cb-11292ooa_000061-000105	1_092eaf7c9c3aac469dbbc81eb8963bbd
1_cb-11292ooa_000107-000151	1_09f7f7617e7f458f640c2c22820e0935
1_cb-131o5a_000019-000056	1_0ae126e2a9a30c3f8767c61604816f02
1_cb-131o5a_000099-000149	1_0b9128d30f1674d0454c0bcc24dfeaa1
1_cb-14a_000019-000056	1_0bd34f5c1368935b371bacc156bcbc59
1_cb-157a_000034-000067	1_0cd5d411bbda5d4836ca4e354678781e
1_cb-15z6a_000019-000048	1_01e02eecfaa93189195b8db336a9ed3e
1_cb-1a_000053-000099	1_0f1452c34ae52730130b04da09d3fc85
1_cb-1b_000019-000066	1_10ce69857c482af1e054756f5e11ace7
1_cb-2o86o18a_000229-000258	1_021cc4aa37fa8ba44f099984dd499923
1_cb-41917a_000093-000128	1_12bfa980dcedf8258d14e37c87ba2f4c
1_cb-41917a_000179-000221	1_022741edd9fff9cea3a0ec410eca26af
1_cb-41z4a_000088-000137	1_10f67639bd735c856beb4aea06bed60c
1_cb-55971z6a_000221-000265	1_0234a1bd1d333aeeb90c1e214a8a85c4
1_cb-61a_000059-000119	1_1195c1985136a953d372855a626824cd
1_cb-781665oa_000114-000155	1_2f2da73b3fc5bc80c2ef317458358e1d
1_cb-89113a_000117-000148	1_14b4033423172da1caaf2946bbdf8edb
1_cb-89113a_000147-000188	1_0256c0e7171b2a2a137d15ead9b2885c
1_cb-9617oa_000109-000157	1_11b94697767776b18d83661732938d41
1_cb-z1921a_000073-000109	1_15d76eb429d465b5ea721abc1922eb7a
1_cb-z1921a_000224-000271	1_025ef6d8affbe64d021eac753bc1744a
1_cb-z4z8z16a_000272-000305	0_6fb0affd5a56af328858b5b57cb898d7
1_cf-11z2528a_000019-000063	1_174370f254558cfca95ac9ef4159c8c8
1_cf-11z2528a_000074-000103	1_155435fa3a9ba6d4869cf5c67977c899
1_cf-1366955a_000020-000038	1_161df6d5dc75449da6ecae137591528e
1_cf-18a_000020-000047	1_1629f9bd110b09a91955b399ef6c5b11
1_cf-19a_000019-000042	1_164f5cb39b81abf11884fa962c47ce2d
1_cf-1a_000020-000056	1_300c8d44958257f51494e135c3142525
1_cf-1b_000021-000058	1_301d2c32f61cd149486f25ee8bbd4d05
1_cf-1o237a_000043-000079	1_1745e05d807c7f83fa806459c6f48018
1_cf-42713a_000125-000155	1_30490d89f53429dbea9f41b73f74f471
1_cf-44951a_000192-000226	1_182940badbd5929f7ffee9cd2bd53a95
1_cf-63621a_000138-000179	1_30e267ee869c2b3ae91db70cd07a21ca
1_cf-67z6771a_000273-000316	1_1a015f2dc1959ed5c18538b399e7b9c9
1_cf-79z8188a_000140-000171	1_324ca25af22e2cfc7a26f0791726dd27
1_cf-84149a_000097-000130	1_1a460e2c90788b1c459d10698b1ebe2d
1_cf-8514oa_000065-000095	1_1adc88ea35cca4d69447fac1efba2cf4
1_cf-9123a_000072-000104	1_326a8dfbf80b6d7361a25a6f1cc9efcc
1_cf-9474164a_000129-000158	1_1c5709fd8d13c38e74bd2ca2628db1e8
1_cf-o1a_000056-000094	1_1e4f39b211a745eddd71eb03036751f1
1_cf-oo1a_000070-000105	1_2043313c9f6ad59a47359469dc3ecb58
1_cf-z17za_000089-000113	1_165adc74dc6d5ed7b9fbe3cbf88df6fe
1_cg-11za_000018-000068	1_16a4f3dd7e689120f330b7bea127b76f
1_cg-11za_000077-000113	1_16be75383b3bcb7c01490b796ffd5205
1_cg-167a_000020-000064	1_1708b0f781a482c1474f4e15aaa54c3d
1_cg-16za_000020-000069	1_17430a68047e43175cf5d84cb5bf89bf
1_cg-1834z88a_000019-000057	1_17516a181814f8e242f64cae241a94e5
1_cg-1a_000028-000085	1_17711ab67320081b6a027b7ccb0ed83c
1_cg-1b_000019-000064	1_331c76c73c55d5c2e9325fbefd72e69e
1_cg-1o7oo14a_000019-000061	1_17a86aa2543ed6765815fcf3339a634d
1_cg-1o7oo14a_000293-000333	1_1807ea6dec3f37658c800ed32e6eba04
1_cg-21o6941a_000077-000115	1_181bdcd7d4f206ab0ac9dad3eac913a7
1_cg-21o6941a_000333-000381	1_33779eeb4a1eee5bc57e0d907b7a8097
1_cg-2951z89a_000177-000213	1_1832ec6da97b4689ee5d79abf82e3097
1_cg-31a_000068-000115	1_337ff34d9842f1ca7214acafe59de5f8
1_cg-3351321a_000175-000207	1_186b3940f2395a49a7f7a2b3c352cad6
1_cg-3351321a_000269-000315	1_33db79bdfd9d380aa2eb8b9da56458ab
1_cg-5857741a_000299-000342	1_205ab0013c412cebe91853ece94bd76b
1_cg-58911a_000156-000190	1_0281ccef43b8aa735398cebcf2451cf1
1_cg-58911a_000189-000232	1_347fa98dc88ddc7f3990c4ed3f5daaae
1_cg-61965a_000074-000128	1_186fb2d968dc086174d1bd0730e01947
1_cg-666o14oa_000292-000334	1_1877f274efaaac0cca3342dce8ae0813
1_cg-8125a_000066-000120	1_188472142b9a8c3d367e3b9d68fff75d
1_cg-831a_000118-000160	1_3486f80f3748f3039c56ad4438055dc4
1_cg-8z1a_000123-000165	4_024513722dff60a195657e76859f65f7
1_cr-1171889a_000054-000072	1_1894b0fd84b71788de31988682c61b9a
1_cr-1171889a_000071-000094	1_02db69d8ca73b37febfd6c28aa39d449
1_cr-1171889a_000154-000184	1_18acab279025f316f1a9d2ece7279bae
1_cr-126a_000044-000070	1_18d4e256223ec5b7f8d84701a943a1de
1_cr-1577391a_000031-000057	1_1901803c6796858c6a32227ae5a9c88b
1_cr-1577391a_000231-000261	1_22478369c173c7aefbe54f094ce10630
1_cr-161o567a_000051-000071	1_192b9a969101af78c78d1c27e5ed17a3
1_cr-161o567a_000100-000139	1_0306015de96cd02fba26b4b9567c7117
1_cr-19a_000028-000064	1_0311bf49a65afbca5ffea3a382cf1dff
1_cr-1a_000035-000064	1_24290c700a4662c1ec48bac7c1ae0ef5
1_cr-1b_000039-000067	1_195749fd64ef5c22f9e0f5444f0067c8
1_cr-2z61858a_000114-000135	1_03142787507ba22b881ba82603703bae
1_cr-513a_000049-000069	1_34b35c158ad7e51457efcba45c530da1
1_cr-5941484a_000136-000160	1_032409158b954f2c8796f78fb701ec5f
1_cr-5z168a_000125-000152	1_03327c40209ae594f1520659688f99a7
1_cr-6811a_000136-000170	1_034ece538b3dfc339c9d6c04a7bde27a
1_cr-6811a_000172-000203	1_03523e06a2359841ec2c0919535fe1ce
1_cr-71a_000069-000107	1_03909256f5cdce15af94596bb33b9f35
1_cr-721a_000106-000141	1_03a54278c70265e39ce9196d5bea523b
1_cr-8194126a_000044-000077	1_03bdba6e28d107c46ab0660c34ec6c6d
1_cr-8194126a_000155-000182	1_03c3d361be40130a956002a8505d6bb8
1_cr-821a_000109-000144	1_199ae10d970ff94ee433f66692a70778
1_cr-91a_000067-000103	1_03d4b90f8212eb02891f241358501cd7
1_cr-931z1a_000104-000140	1_03d595df81ed5b5ca2d8f4d104d95762
1_cr-931z1a_000184-000212	1_3559ba4f7145d252d13d24fbdf47fb04
1_cr-o1a_000048-000074	1_03db31b9661ecb99462d3d24446f575c
1_dc-1535a_000041-000069	1_1a5e80cdcd44a7df178f3496e3c8bb4a
1_dc-166o17oa_000034-000061	1_1a90868d107f465577eadeeed951fca2
1_dc-166o17oa_000154-000184	1_1aa4e3f417416fe14006523d34f89199
1_dc-1962a_000037-000084	1_1ad1fd6ad7a40614dd8aa17508285b51
1_dc-1a_000046-000090	1_1ad6b6493331391e760e8588d8da4d25
1_dc-1b_000032-000080	1_1b06766b160f0fd8f43b85f4693c7916
1_dc-1za_000028-000057	1_1b3bcd9982e475c27810fd4542cecdbf
1_dc-1zza_000038-000068	1_1b58ed724f6395f1311459cead7bcb02
1_dc-3491o7oa_000108-000135	1_247789b33f35e549ddd4f0326d879626
1_dc-4129a_000052-000082	1_03f13365e69ec328bafa60ec5105f397
1_dc-55618a_000131-000158	1_03f82d0242865e1995d71f5f792372a3
1_dc-6861731a_000135-000154	1_1b6c93d41feeca5e530d5e49ffbf3666
1_dc-6861731a_000208-000250	1_0406a3afbd2a98ffbbb4f1c54cd09e82
1_dc-751a_000097-000138	1_042efde71c93d64e910e021a0948233f
1_dc-79913o6a_000134-000157	1_359812ab5c147f202ceddb7c7b7eff1d
1_dc-815522za_000045-000075	1_1b82ae549b45b2035bebe7402235ab37
1_dc-87194a_000106-000128	1_0436c42a46fb4c2328086f91ebded190
1_dc-9o14a_000078-000110	1_1beffa895a2cc9099680f7e3a3b4adc8
1_dc-z2581a_000130-000174	1_0456a5d0d18b3d8ec462bcd400294648
1_dg-1178432a_000054-000073	1_1c655374181890ff9fc63ee492a899f4
1_dg-1178432a_000072-000098	1_35e485cc7442c4f0fba385280c07b5d0
1_dg-181z6a_000019-000042	1_1c89f2755504a827475b662d99e46d68
1_dg-181z6a_000067-000102	1_36f535a6d9e2ac3525650830ae926bc5
1_dg-1889538a_000019-000043	1_1d35b41b894fd06b1656d250b0b7d3c9
1_dg-19a_000020-000046	1_1d41a7e45755fe0ac3e685bf89c9f2db
1_dg-1a_000038-000085	1_1db254b30d6d16da5d04c3f1da5cc1df
1_dg-1b_000026-000072	1_374b364096b3acdd635128b83f86e6fc
1_dg-1oa_000019-000049	1_1e1047420b8cfeed07e166d9334b7a69
1_dg-2z71a_000149-000186	1_3774b40f5c2fd3e5fefdb1b1bfad67c5
1_dg-3zz7z19a_000211-000237	1_1e28dfd22fc2bda4a6800b20e6497ff3
1_dg-5163355a_000045-000071	1_1e63cae96a893a6e4a397de24be31ff0
